iter	Passed	Remaining
0	128	128720
1	131	65421
2	133	44318
3	135	33711
4	137	27309
5	139	23095
6	140	19992
7	142	17667
8	143	15832
9	145	14363
10	146	13182
11	147	12179
12	149	11323
13	150	10589
14	151	9939
15	152	9393
16	153	8880
17	154	8424
18	155	8012
19	155	7640
20	156	7296
21	157	6984
22	157	6703
23	158	6440
24	159	6201
25	159	5978
26	160	5771
27	160	5580
28	161	5401
29	161	5236
30	162	5080
31	163	4934
32	163	4796
33	164	4667
34	164	4544
35	165	4430
36	166	4328
37	166	4224
38	167	4125
39	168	4033
40	168	3946
41	169	3862
42	169	3782
43	170	3705
44	171	3633
45	171	3563
46	172	3496
47	173	3432
48	173	3370
49	174	3311
50	174	3254
51	175	3199
52	176	3147
53	176	3096
54	177	3047
55	177	2999
56	178	2953
57	179	2908
58	180	2874
59	180	2833
60	181	2792
61	182	2755
62	182	2718
63	183	2682
64	183	2646
65	184	2612
66	185	2579
67	185	2547
68	186	2515
69	187	2485
70	187	2455
71	188	2426
72	188	2398
73	189	2371
74	190	2343
75	190	2317
76	191	2292
77	191	2267
78	192	2244
79	193	2220
80	193	2198
81	194	2177
82	194	2153
83	195	2132
84	196	2113
85	196	2092
86	197	2072
87	198	2053
88	198	2035
89	199	2015
90	199	1997
91	200	1979
92	201	1961
93	201	1945
94	202	1928
95	203	1912
96	203	1896
97	204	1880
98	204	1864
99	205	1850
100	206	1835
101	206	1820
102	207	1807
103	208	1793
104	209	1782
105	209	1769
106	211	1762
107	212	1754
108	213	1742
109	213	1730
110	214	1717
111	215	1706
112	215	1693
113	216	1682
114	217	1670
115	217	1659
116	218	1647
117	218	1636
118	219	1626
119	220	1616
120	221	1607
121	221	1597
122	222	1587
123	223	1577
124	224	1568
125	225	1561
126	225	1550
127	226	1541
128	226	1531
129	227	1522
130	228	1513
131	228	1504
132	229	1495
133	230	1487
134	230	1479
135	231	1470
136	232	1462
137	232	1454
138	233	1445
139	234	1437
140	234	1429
141	235	1420
142	235	1412
143	236	1405
144	237	1398
145	239	1400
146	240	1395
147	241	1389
148	242	1384
149	243	1378
150	244	1372
151	244	1366
152	245	1359
153	246	1352
154	247	1346
155	247	1341
156	248	1335
157	249	1328
158	250	1323
159	251	1318
160	251	1311
161	253	1308
162	254	1304
163	255	1300
164	255	1294
165	256	1288
166	257	1282
167	257	1277
168	258	1271
169	259	1265
170	259	1260
171	260	1254
172	261	1249
173	261	1243
174	262	1238
175	263	1233
176	264	1228
177	264	1223
178	265	1218
179	266	1214
180	267	1210
181	268	1205
182	269	1201
183	269	1196
184	270	1192
185	271	1187
186	272	1184
187	273	1179
188	274	1176
189	275	1173
190	276	1170
191	276	1165
192	277	1161
193	278	1157
194	279	1152
195	279	1148
196	280	1144
197	281	1140
198	282	1137
199	283	1132
200	284	1129
201	284	1124
202	285	1120
203	286	1116
204	286	1111
205	287	1107
206	288	1103
207	288	1099
208	289	1095
209	290	1091
210	290	1087
211	291	1083
212	292	1078
213	292	1075
214	293	1071
215	294	1067
216	294	1063
217	295	1059
218	295	1055
219	296	1052
220	297	1048
221	298	1044
222	298	1041
223	300	1040
224	300	1036
225	301	1032
226	302	1029
227	302	1025
228	303	1022
229	304	1018
230	304	1015
231	305	1011
232	306	1008
233	306	1004
234	307	1001
235	308	997
236	308	994
237	309	991
238	310	987
239	310	984
240	312	982
241	312	980
242	313	976
243	314	974
244	315	971
245	316	969
246	316	966
247	317	963
248	318	960
249	319	957
250	319	954
251	320	951
252	321	948
253	321	945
254	322	942
255	323	939
256	324	936
257	324	933
258	325	931
259	326	929
260	327	926
261	328	924
262	328	921
263	329	918
264	330	915
265	330	912
266	331	909
267	332	906
268	332	904
269	333	901
270	333	898
271	334	895
272	335	892
273	335	889
274	336	887
275	337	885
276	338	882
277	338	880
278	339	877
279	341	877
280	342	875
281	342	873
282	343	870
283	344	868
284	345	865
285	345	863
286	346	860
287	347	858
288	348	856
289	348	853
290	349	852
291	350	849
292	351	847
293	352	845
294	352	843
295	353	841
296	354	839
297	355	837
298	356	836
299	357	834
300	358	832
301	359	830
302	360	828
303	361	827
304	362	825
305	363	823
306	363	820
307	364	818
308	365	817
309	366	816
310	368	815
311	368	813
312	369	811
313	370	809
314	371	807
315	371	804
316	372	802
317	373	800
318	373	798
319	374	796
320	375	794
321	376	791
322	376	789
323	377	786
324	377	784
325	378	782
326	378	779
327	379	777
328	380	775
329	380	772
330	381	770
331	381	767
332	382	765
333	382	763
334	383	760
335	383	758
336	384	756
337	385	754
338	385	752
339	386	750
340	387	747
341	387	745
342	388	743
343	388	741
344	389	739
345	390	737
346	390	735
347	391	733
348	391	731
349	392	728
350	393	726
351	393	724
352	394	722
353	394	720
354	395	718
355	395	716
356	396	713
357	396	711
358	397	709
359	397	707
360	398	705
361	399	703
362	399	701
363	400	699
364	401	697
365	401	695
366	402	693
367	402	691
368	403	689
369	404	687
370	404	685
371	405	684
372	405	682
373	406	680
374	406	678
375	407	676
376	408	674
377	408	672
378	409	670
379	409	668
380	410	666
381	410	664
382	411	662
383	411	660
384	412	658
385	412	656
386	413	655
387	414	654
388	415	652
389	415	650
390	416	648
391	417	647
392	417	645
393	418	643
394	418	641
395	419	639
396	419	637
397	420	635
398	420	633
399	421	632
400	421	630
401	422	628
402	422	626
403	423	624
404	423	622
405	424	621
406	425	619
407	425	617
408	426	615
409	426	613
410	427	612
411	427	610
412	428	608
413	428	607
414	429	605
415	430	603
416	430	602
417	431	600
418	431	598
419	432	597
420	433	595
421	433	593
422	434	592
423	434	590
424	435	588
425	435	587
426	436	585
427	436	583
428	437	582
429	437	580
430	438	578
431	438	577
432	439	575
433	440	573
434	440	572
435	441	570
436	441	569
437	442	567
438	443	566
439	443	564
440	444	563
441	445	561
442	445	560
443	446	558
444	446	557
445	447	555
446	448	554
447	448	552
448	449	551
449	449	549
450	450	548
451	450	546
452	451	545
453	452	543
454	452	542
455	453	540
456	453	539
457	454	537
458	454	536
459	455	534
460	455	532
461	456	531
462	456	529
463	457	528
464	458	527
465	458	525
466	459	524
467	460	523
468	460	521
469	461	520
470	462	518
471	462	517
472	463	515
473	463	514
474	464	513
475	464	511
476	465	510
477	465	508
478	466	507
479	466	505
480	467	504
481	467	502
482	468	501
483	468	499
484	469	498
485	469	497
